,Date,Time,Demand,Price1h,Datetime
0,2019-08-30,00:00,609,5.96,2019-08-30 00:00:00
1,2019-08-30,01:00,609,5.96,2019-08-30 01:00:00
2,2019-08-30,02:00,609,5.96,2019-08-30 02:00:00
3,2019-08-30,03:00,609,5.96,2019-08-30 03:00:00
4,2019-08-30,04:00,609,5.96,2019-08-30 04:00:00
5,2019-08-30,05:00,609,5.96,2019-08-30 05:00:00
6,2019-08-30,06:00,609,5.96,2019-08-30 06:00:00
7,2019-08-30,07:00,609,5.96,2019-08-30 07:00:00
8,2019-08-30,08:00,609,5.96,2019-08-30 08:00:00
9,2019-08-30,09:00,609,5.96,2019-08-30 09:00:00
10,2019-08-30,10:00,609,5.96,2019-08-30 10:00:00
11,2019-08-30,11:00,609,5.96,2019-08-30 11:00:00
12,2019-08-30,12:00,609,5.96,2019-08-30 12:00:00
13,2019-08-30,13:00,609,5.96,2019-08-30 13:00:00
14,2019-08-30,14:00,609,5.96,2019-08-30 14:00:00
15,2019-08-30,15:00,609,5.96,2019-08-30 15:00:00
16,2019-08-30,16:00,609,5.96,2019-08-30 16:00:00
17,2019-08-30,17:00,609,5.96,2019-08-30 17:00:00
18,2019-08-30,18:00,609,5.96,2019-08-30 18:00:00
19,2019-08-30,19:00,609,5.96,2019-08-30 19:00:00
20,2019-08-30,20:00,609,5.96,2019-08-30 20:00:00
21,2019-08-30,21:00,609,5.96,2019-08-30 21:00:00
22,2019-08-30,22:00,609,5.96,2019-08-30 22:00:00
23,2019-08-30,23:00,609,5.96,2019-08-30 23:00:00
24,2019-08-31,00:00,557,5.96,2019-08-31 00:00:00
25,2019-08-31,01:00,557,5.96,2019-08-31 01:00:00
26,2019-08-31,02:00,557,5.96,2019-08-31 02:00:00
27,2019-08-31,03:00,557,5.96,2019-08-31 03:00:00
28,2019-08-31,04:00,557,5.96,2019-08-31 04:00:00
29,2019-08-31,05:00,557,5.96,2019-08-31 05:00:00
30,2019-08-31,06:00,557,5.96,2019-08-31 06:00:00
31,2019-08-31,07:00,557,5.96,2019-08-31 07:00:00
32,2019-08-31,08:00,557,5.96,2019-08-31 08:00:00
33,2019-08-31,09:00,557,5.96,2019-08-31 09:00:00
34,2019-08-31,10:00,557,5.96,2019-08-31 10:00:00
35,2019-08-31,11:00,557,5.96,2019-08-31 11:00:00
36,2019-08-31,12:00,557,5.96,2019-08-31 12:00:00
37,2019-08-31,13:00,557,5.96,2019-08-31 13:00:00
38,2019-08-31,14:00,557,5.96,2019-08-31 14:00:00
39,2019-08-31,15:00,557,5.96,2019-08-31 15:00:00
40,2019-08-31,16:00,557,5.96,2019-08-31 16:00:00
41,2019-08-31,17:00,557,5.96,2019-08-31 17:00:00
42,2019-08-31,18:00,557,5.96,2019-08-31 18:00:00
43,2019-08-31,19:00,557,5.96,2019-08-31 19:00:00
44,2019-08-31,20:00,557,5.96,2019-08-31 20:00:00
45,2019-08-31,21:00,557,5.96,2019-08-31 21:00:00
46,2019-08-31,22:00,557,5.96,2019-08-31 22:00:00
47,2019-08-31,23:00,557,5.96,2019-08-31 23:00:00
48,2019-09-01,00:00,546,6.96,2019-09-01 00:00:00
49,2019-09-01,01:00,546,6.96,2019-09-01 01:00:00
50,2019-09-01,02:00,546,6.96,2019-09-01 02:00:00
51,2019-09-01,03:00,546,6.96,2019-09-01 03:00:00
52,2019-09-01,04:00,546,6.96,2019-09-01 04:00:00
53,2019-09-01,05:00,546,6.96,2019-09-01 05:00:00
54,2019-09-01,06:00,546,6.96,2019-09-01 06:00:00
55,2019-09-01,07:00,546,6.96,2019-09-01 07:00:00
56,2019-09-01,08:00,546,6.96,2019-09-01 08:00:00
57,2019-09-01,09:00,546,6.96,2019-09-01 09:00:00
58,2019-09-01,10:00,546,6.96,2019-09-01 10:00:00
59,2019-09-01,11:00,546,6.96,2019-09-01 11:00:00
60,2019-09-01,12:00,546,6.96,2019-09-01 12:00:00
61,2019-09-01,13:00,546,6.96,2019-09-01 13:00:00
62,2019-09-01,14:00,546,6.96,2019-09-01 14:00:00
63,2019-09-01,15:00,546,6.96,2019-09-01 15:00:00
64,2019-09-01,16:00,546,6.96,2019-09-01 16:00:00
65,2019-09-01,17:00,546,6.96,2019-09-01 17:00:00
66,2019-09-01,18:00,546,6.96,2019-09-01 18:00:00
67,2019-09-01,19:00,546,6.96,2019-09-01 19:00:00
68,2019-09-01,20:00,546,6.96,2019-09-01 20:00:00
69,2019-09-01,21:00,546,6.96,2019-09-01 21:00:00
70,2019-09-01,22:00,546,6.96,2019-09-01 22:00:00
71,2019-09-01,23:00,546,6.96,2019-09-01 23:00:00
72,2019-09-02,00:00,549,6.44,2019-09-02 00:00:00
73,2019-09-02,01:00,549,6.44,2019-09-02 01:00:00
74,2019-09-02,02:00,549,6.44,2019-09-02 02:00:00
75,2019-09-02,03:00,549,6.44,2019-09-02 03:00:00
76,2019-09-02,04:00,549,6.44,2019-09-02 04:00:00
77,2019-09-02,05:00,549,6.44,2019-09-02 05:00:00
78,2019-09-02,06:00,549,6.44,2019-09-02 06:00:00
79,2019-09-02,07:00,549,6.44,2019-09-02 07:00:00
80,2019-09-02,08:00,549,6.44,2019-09-02 08:00:00
81,2019-09-02,09:00,549,6.44,2019-09-02 09:00:00
82,2019-09-02,10:00,549,6.44,2019-09-02 10:00:00
83,2019-09-02,11:00,549,6.44,2019-09-02 11:00:00
84,2019-09-02,12:00,549,6.44,2019-09-02 12:00:00
85,2019-09-02,13:00,549,6.44,2019-09-02 13:00:00
86,2019-09-02,14:00,549,6.44,2019-09-02 14:00:00
87,2019-09-02,15:00,549,6.44,2019-09-02 15:00:00
88,2019-09-02,16:00,549,6.44,2019-09-02 16:00:00
89,2019-09-02,17:00,549,6.44,2019-09-02 17:00:00
90,2019-09-02,18:00,549,6.44,2019-09-02 18:00:00
91,2019-09-02,19:00,549,6.44,2019-09-02 19:00:00
92,2019-09-02,20:00,549,6.44,2019-09-02 20:00:00
93,2019-09-02,21:00,549,6.44,2019-09-02 21:00:00
94,2019-09-02,22:00,549,6.44,2019-09-02 22:00:00
95,2019-09-02,23:00,549,6.44,2019-09-02 23:00:00
96,2019-09-03,00:00,547,5.84,2019-09-03 00:00:00
97,2019-09-03,01:00,547,5.84,2019-09-03 01:00:00
98,2019-09-03,02:00,547,5.84,2019-09-03 02:00:00
99,2019-09-03,03:00,547,5.84,2019-09-03 03:00:00
100,2019-09-03,04:00,547,5.84,2019-09-03 04:00:00
101,2019-09-03,05:00,547,5.84,2019-09-03 05:00:00
102,2019-09-03,06:00,547,5.84,2019-09-03 06:00:00
103,2019-09-03,07:00,547,5.84,2019-09-03 07:00:00
104,2019-09-03,08:00,547,5.84,2019-09-03 08:00:00
105,2019-09-03,09:00,547,5.84,2019-09-03 09:00:00
106,2019-09-03,10:00,547,5.84,2019-09-03 10:00:00
107,2019-09-03,11:00,547,5.84,2019-09-03 11:00:00
108,2019-09-03,12:00,547,5.84,2019-09-03 12:00:00
109,2019-09-03,13:00,547,5.84,2019-09-03 13:00:00
110,2019-09-03,14:00,547,5.84,2019-09-03 14:00:00
111,2019-09-03,15:00,547,5.84,2019-09-03 15:00:00
112,2019-09-03,16:00,547,5.84,2019-09-03 16:00:00
113,2019-09-03,17:00,547,5.84,2019-09-03 17:00:00
114,2019-09-03,18:00,547,5.84,2019-09-03 18:00:00
115,2019-09-03,19:00,547,5.84,2019-09-03 19:00:00
116,2019-09-03,20:00,547,5.84,2019-09-03 20:00:00
117,2019-09-03,21:00,547,5.84,2019-09-03 21:00:00
118,2019-09-03,22:00,547,5.84,2019-09-03 22:00:00
119,2019-09-03,23:00,547,5.84,2019-09-03 23:00:00
120,2019-09-04,00:00,476,6.66,2019-09-04 00:00:00
121,2019-09-04,01:00,476,6.66,2019-09-04 01:00:00
122,2019-09-04,02:00,476,6.66,2019-09-04 02:00:00
123,2019-09-04,03:00,476,6.66,2019-09-04 03:00:00
124,2019-09-04,04:00,476,6.66,2019-09-04 04:00:00
125,2019-09-04,05:00,476,6.66,2019-09-04 05:00:00
126,2019-09-04,06:00,476,6.66,2019-09-04 06:00:00
127,2019-09-04,07:00,476,6.66,2019-09-04 07:00:00
128,2019-09-04,08:00,476,6.66,2019-09-04 08:00:00
129,2019-09-04,09:00,476,6.66,2019-09-04 09:00:00
130,2019-09-04,10:00,476,6.66,2019-09-04 10:00:00
131,2019-09-04,11:00,476,6.66,2019-09-04 11:00:00
132,2019-09-04,12:00,476,6.66,2019-09-04 12:00:00
133,2019-09-04,13:00,476,6.66,2019-09-04 13:00:00
134,2019-09-04,14:00,476,6.66,2019-09-04 14:00:00
135,2019-09-04,15:00,476,6.66,2019-09-04 15:00:00
136,2019-09-04,16:00,476,6.66,2019-09-04 16:00:00
137,2019-09-04,17:00,476,6.66,2019-09-04 17:00:00
138,2019-09-04,18:00,476,6.66,2019-09-04 18:00:00
139,2019-09-04,19:00,476,6.66,2019-09-04 19:00:00
140,2019-09-04,20:00,476,6.66,2019-09-04 20:00:00
141,2019-09-04,21:00,476,6.66,2019-09-04 21:00:00
142,2019-09-04,22:00,476,6.66,2019-09-04 22:00:00
